"Contact.ID","Contact.Source.ID","Full.Name..Company.or.Person.","Employee.ID","Primary.Email","Job.Title","Office","Practice.Area","Practice.Group","Status","Alumni","Kirkland.Title"
27,2,"Golby, Cyrus",84,"cyrus.golby@lawfirmllp.com","Senior M&A Counsel, Staff Vice President","Washington, D.C.","Transactional","Investment Management","Inactive","Yes","Partner"
28,2,"Death, Troy",100,"troy.death@lawfirmllp.com","Partner","Chicago","","","Inactive","Yes","Associate"
29,2,"Welton, Rebecka",102,"rebecka.welton@lawfirmllp.com","","Chicago","Transactional","Taxation","Inactive","Yes","Partner"
30,2,"Siddall, Rosaline",105,"rosaline.siddall@lawfirmllp.com","Chief Operating Officer","Chicago","Transactional","Litigation","Inactive","Yes","Associate"
31,2,"Bruford, Wallace",106,"wallace.bruford@lawfirmllp.com","Partner","Chicago","Transactional","Antitrust & Competitions","Inactive","Yes","Partner"
32,2,"Boileau, Leon",111,"leon.boileau@lawfirmllp.com","Of Counsel","Chicago","Litigation","Antitrust & Competitions","Active","","Of Counsel"
33,2,"Leppington, Jake",114,"jake.leppington@lawfirmllp.com","Partner","Chicago","Transactional","Tax","Inactive","Yes","Associate"
34,2,"Aulas, Jean",117,"jean.aulas@lawfirmllp.com","","Chicago","Transactional","Corporate Finance","Inactive","Yes","Associate"
35,2,"Penlington, Shirlee",119,"shirlee.penlington@lawfirmllp.com","Dean","Washington, D.C.","Litigation","International Litigation & Arbitration","Inactive","Yes","Associate"
36,2,"Charter, Julia",121,"julia.charter@lawfirmllp.com","Partner","New York","Transactional","Corporate Finance","Active","","Partner"
37,2,"Mcmonies, Jesse",122,"jesse.mcmonies@lawfirmllp.com","","New York","Transactional","Trusts & Estates","Inactive","Yes","Partner"
38,2,"Threlfall, Branden",161,"branden.threlfall@lawfirmllp.com","Chicago Assistant Managing Member","Chicago","Restructuring","Restructuring","Inactive","Yes","Partner"
39,2,"Champagne, Antonia",192,"antonia.champagne@lawfirmllp.com","Partner","Chicago","","","Inactive","Yes","Associate"
40,2,"Trudelle, Lucas",242,"lucas.trudelle@lawfirmllp.com","Senior Attorney Litigation & Regulatory Law","Chicago","Litigation","Antitrust & Competitions","Inactive","Yes","Partner"
41,2,"Flett, Thaddeus",275,"thaddeus.flett@lawfirmllp.com","Private Investor","Chicago","","","Inactive","Yes","Associate"
42,2,"Randels, Tandy",352,"tandy.randels@lawfirmllp.com","Counsel","Washington, D.C.","Intellectual Property","Patent","Inactive","Yes","Partner"
43,2,"Nickson, Jeromy",357,"jeromy.nickson@lawfirmllp.com","GM, US Public Sector","Chicago","Intellectual Property","Patent","Inactive","Yes","Associate"
44,2,"Teague, Darius",364,"darius.teague@lawfirmllp.com","","Washington, D.C.","Litigation","International Litigation & Arbitration","Inactive","Yes","Associate"
45,2,"Hulcoop, Altha",366,"altha.hulcoop@lawfirmllp.com","Chief Executive Officer, Target Canada and Senior Vice President, Finance, Target","London","Transactional","Private Equity","Inactive","Yes","Partner"
46,2,"Chekley, Laquita",367,"laquita.chekley@lawfirmllp.com","Of Counsel","Chicago","Intellectual Property","Patent","Active","","Of Counsel"
47,2,"Ranson, Markus",370,"markus.ranson@lawfirmllp.com","Partner","New York","Transactional","Tax","Inactive","Yes","Partner"
49,2,"Gunnell, Garth",373,"garth.gunnell@lawfirmllp.com","Vice President and Associate General Counsel","Los Angeles","Litigation","Antitrust & Competitions","Inactive","Yes","Partner"
50,2,"Marchbanks, Lara",374,"lara.marchbanks@lawfirmllp.com","Assistant General Counsel, Litigation","Chicago","Litigation","Class Action Litigation","Inactive","Yes","Partner"
51,2,"Couper, Javier",389,"javier.couper@lawfirmllp.com","","Washington, D.C.","","","Inactive","Yes","Associate"
52,2,"Peacock, Simon",409,"simon.peacock@lawfirmllp.com","","Chicago","Intellectual Property","Copyright & Trademark","Inactive","Yes","Associate"
53,2,"Birchall, Jerry",412,"jerry.birchall@lawfirmllp.com","Partner","Chicago","Litigation","Class Action Litigation","Inactive","Yes","Associate"
54,2,"Kingsley, Clement",415,"clement.kingsley@lawfirmllp.com","President","New York","Transactional","Private Equity","Inactive","Yes","Partner"
55,2,"Brumwell, Ignacio",416,"ignacio.brumwell@lawfirmllp.com","Of Counsel","Chicago","Litigation","Securities Litigations","Active","","Of Counsel"
56,2,"Milligan, Josh",422,"josh.milligan@lawfirmllp.com","Partner","Chicago","Litigation","Litigation","Inactive","Yes","Partner"
57,2,"Lawrenson, Lino",425,"lino.lawrenson@lawfirmllp.com","","Chicago","Litigation","Govt, Reg & Int Investigations","Inactive","Yes","Of Counsel"
58,2,"Chamley, Teodoro",428,"teodoro.chamley@lawfirmllp.com","President and Founder","New York","Intellectual Property","Copyright & Trademark","Inactive","Yes","Associate"
59,2,"Longhurst, Jake",430,"jake.longhurst@lawfirmllp.com","Partner","New York","Intellectual Property","Patent","Active","","Partner"
60,2,"Udall, Zackary",436,"zackary.udall@lawfirmllp.com","Principal","Chicago","Transactional","Tax","Inactive","Yes","Partner"
61,2,"Cottrill, Louella",462,"louella.cottrill@lawfirmllp.com","Vice President, Information Technology","New York","Intellectual Property","IP - Transactional","Inactive","Yes","Of Counsel"
62,2,"Baldrey, Ramiro",474,"ramiro.baldrey@lawfirmllp.com","Partner","New York","Intellectual Property","Copyright & Trademark","Inactive","Yes","Partner"
63,2,"Raines, Earnest",499,"earnest.raines@lawfirmllp.com","Partner","","","","Inactive","Yes","Partner"
64,2,"Raisen Or Raison, Arnulfo",828,"arnulfo.raisen or raison@lawfirmllp.com","Of Counsel","San Francisco","Litigation","Class Action Litigation","Active","","Of Counsel"
65,2,"Lydia, Elwood",829,"elwood.lydia@lawfirmllp.com","","Washington, D.C.","Litigation","International Litigation & Arbitration","Inactive","Yes","Partner"
66,2,"Worthy, Timothy",831,"timothy.worthy@lawfirmllp.com","Of Counsel","Washington, D.C.","","","Inactive","Yes","Associate"
67,2,"Inston, Carlo",835,"carlo.inston@lawfirmllp.com","Assistant Attorney General","Denver","Litigation","Antitrust & Competitions","Inactive","Yes","Partner"
68,2,"Gaunt, Kurtis",838,"kurtis.gaunt@lawfirmllp.com","Senior Director Library Services","Chicago","Library Services","Administrative Mgt - LIB","Active","","Senior Director Library Services"
69,2,"Earl Of Norbury, Johnie",839,"johnie.earl of norbury@lawfirmllp.com","Partner","Los Angeles","Litigation","Antitrust & Competitions","Active","","Partner"
70,2,"Reynar, Gabriel",841,"gabriel.reynar@lawfirmllp.com","Of Counsel","Chicago","Transactional","Real Estate","Inactive","Yes","Associate"
71,2,"Pegrum, Tracy",842,"tracy.pegrum@lawfirmllp.com","","Chicago","","","Inactive","Yes","Associate"
72,2,"Fowlkes, Keith",845,"keith.fowlkes@lawfirmllp.com","Partner","Chicago","Transactional","Investment Management","Inactive","Yes","Partner"
73,2,"Gulliver, Santos",846,"santos.gulliver@lawfirmllp.com","Intellectual Property Counsel","Chicago","","","Inactive","Yes","Associate"
74,2,"Bryden, Calvin",848,"calvin.bryden@lawfirmllp.com","President","Los Angeles","Litigation","Class Action Litigation","Inactive","Yes","Partner"
75,2,"Mangham, Basil",852,"basil.mangham@lawfirmllp.com","Partner","Chicago","","","Inactive","Yes","Associate"
76,2,"Devie, Lakesha",855,"lakesha.devie@lawfirmllp.com","Partner","Chicago","","","Inactive","Yes","Visiting Attorney"
77,2,"L'estrange, Alonzo",864,"alonzo.l'estrange@lawfirmllp.com","Partner","Chicago","Transactional","Antitrust & Competitions","Inactive","Yes","Partner"
78,2,"De Culcheth, Donnie",865,"donnie.de culcheth@lawfirmllp.com","","Chicago","","","Inactive","Yes","Partner"
79,2,"Beale, Walton",868,"walton.beale@lawfirmllp.com","","Chicago","Litigation","International Litigation & Arbitration","Inactive","Yes","Associate"
80,2,"Bowness, Alfonzo",871,"alfonzo.bowness@lawfirmllp.com","Partner","Washington, D.C.","Litigation","Securities Litigations","Active","","Partner"
82,2,"Gravil, Caryn",875,"caryn.gravil@lawfirmllp.com","Adjunct Consultant","Chicago","","","Inactive","Yes","Associate"
83,2,"Hibbard, Andre",886,"andre.hibbard@lawfirmllp.com","","Chicago","Litigation","Antitrust & Competitions","Inactive","Yes","Partner"
84,2,"Schedewick, Winston",887,"winston.schedewick@lawfirmllp.com","","Los Angeles","Litigation","Securities Litigations","Inactive","Yes","Partner"
85,2,"Wyatville, Stanton",889,"stanton.wyatville@lawfirmllp.com","","Washington, D.C.","","","Inactive","Yes","Associate"
86,2,"Coons, Zita",893,"zita.coons@lawfirmllp.com","Of Counsel","Chicago","Litigation","Class Action Litigation","Inactive","Yes","Of Counsel"
87,2,"Winter, Ollie",895,"ollie.winter@lawfirmllp.com","Partner","New York","Litigation","Securities Litigations","Active","","Partner"
88,2,"Osborne, Valentin",897,"valentin.osborne@lawfirmllp.com","Associate","New York","Restructuring","Restructuring","Inactive","Yes","Associate"
89,2,"Moody, Isidro",902,"isidro.moody@lawfirmllp.com","","Chicago","Transactional","Litigation","Inactive","Yes","Associate"
90,2,"John, Pablo",914,"pablo.john@lawfirmllp.com","Manager of Professional Development","Washington, D.C.","Transactional","International Litigation & Arbitration","Inactive","Yes","Associate"
91,2,"Christie, Dinorah",915,"dinorah.christie@lawfirmllp.com","Vice President and Corporate Counsel","Chicago","Transactional","Securities Litigations","Inactive","Yes","Associate"
92,2,"Carlstrand, Monte",917,"monte.carlstrand@lawfirmllp.com","Circuit Judge","Chicago","","","Inactive","Yes","Partner"
93,2,"Thatcher, Rudolph",918,"rudolph.thatcher@lawfirmllp.com","Chief Operating Officer","Chicago","Transactional","Mergers & Acquisitions","Inactive","Yes","Partner"
94,2,"Brinkley, Ivory",922,"ivory.brinkley@lawfirmllp.com","Associate General Counsel","Chicago","Litigation","Securities Litigations","Inactive","Yes","Partner"
95,2,"Methven, Rolland",923,"rolland.methven@lawfirmllp.com","Partner","Chicago","Litigation","International Litigation & Arbitration","Inactive","Yes","Of Counsel"
96,2,"Strange, Karyl",928,"karyl.strange@lawfirmllp.com","Partner","Chicago","Transactional","Employee Benefits","Active","","Partner"
97,2,"Goodyear /Smith, Dana",930,"dana.goodyear /smith@lawfirmllp.com","Partner","Chicago","","","Inactive","Yes","Associate"
98,2,"Ionson, Lavinia",932,"lavinia.ionson@lawfirmllp.com","Counsel Services Division","Washington, D.C.","","","Inactive","Yes","Associate"
99,2,"Mcbride, Elden",934,"elden.mcbride@lawfirmllp.com","Founder and Partner","Chicago","Transactional","Antitrust & Competitions","Inactive","Yes","Associate"
100,2,"Hartman, Heriberto",935,"heriberto.hartman@lawfirmllp.com","","Denver","Transactional","Antitrust & Competitions","Inactive","Yes","Associate"
101,2,"Huige, Cassaundra",936,"cassaundra.huige@lawfirmllp.com","Partner","Washington, D.C.","Transactional","Investment Management","Inactive","Yes","Partner"
102,2,"Whiterow, Brian",942,"brian.whiterow@lawfirmllp.com","","Chicago","Transactional","Securities Litigations","Inactive","Yes","Associate"
103,2,"Hannon, Wyatt",943,"wyatt.hannon@lawfirmllp.com","Trial Attorney","Washington, D.C.","Litigation","Securities Litigations","Inactive","Yes","Partner"
104,2,"Dick, Kristi",953,"kristi.dick@lawfirmllp.com","","New York","Transactional","Taxation","Inactive","Yes","Associate"
105,2,"Oversby Obersby Or Hubbersby, Daren",954,"daren.oversby obersby or hubbersby@lawfirmllp.com","Associate","Washington, D.C.","Litigation","Class Action Litigation","Inactive","Yes","Associate"
